date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:13	227/227	---M-Z	200	added ('OK')	text/plain	date:Mon,%2017%20Jul%202023%2008:43:13%20GMT	https://www.digiteum.com/robots.txt		(from )
10:41:13	101512/101512	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202023%2009:41:07%20GMT	https://www.digiteum.com/	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/index.html	(from )
10:41:14	26777/26777	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2011:43:21%20GMT	https://www.digiteum.com/wp-content/themes/blake/css/icons-font.css	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/css/icons-font.css	(from https://www.digiteum.com/)
10:41:14	31546/31546	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2011:43:21%20GMT	https://www.digiteum.com/wp-content/themes/blake/css/font-awesome-painel.min.css	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/css/font-awesome-painel.min.css	(from https://www.digiteum.com/)
10:41:14	64464/64464	---M-Z	200	added ('OK')	font/woff2	date:Thu,%2012%20Jan%202023%2011:43:21%20GMT	https://www.digiteum.com/wp-content/themes/blake/css/font-awesome/fontawesome-webfont.woff2?v=4.3.0	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/css/font-awesome/fontawesome-webfonte0a5.woff2	(from https://www.digiteum.com/)
10:41:15	81284/81284	---M-Z	200	added ('OK')	font/woff	date:Thu,%2012%20Jan%202023%2011:43:21%20GMT	https://www.digiteum.com/wp-content/themes/blake/css/font-awesome/fontawesome-webfont.woff	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/css/font-awesome/fontawesome-webfont.woff	(from https://www.digiteum.com/)
10:41:15	138204/138204	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2012%20Jan%202023%2011:43:21%20GMT	https://www.digiteum.com/wp-content/themes/blake/css/font-awesome/fontawesome-webfont.ttf	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/css/font-awesome/fontawesome-webfont.ttf	(from https://www.digiteum.com/)
10:41:16	101481/101481	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2011:43:21%20GMT	https://www.digiteum.com/wp-content/themes/blake/css/bootstrap.css?ver=1	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/css/bootstrap68b3.css	(from https://www.digiteum.com/)
10:41:16	487131/487131	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202023%2013:43:45%20GMT	https://www.digiteum.com/wp-content/themes/blake/style.min.css?ver=1.0	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/themes/blake/style.min5152.css	(from https://www.digiteum.com/)
10:41:16	1099/1099	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2011:45:39%20GMT	https://www.digiteum.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4.2	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/plugins/contact-form-7/includes/css/stylesc1f9.css	(from https://www.digiteum.com/)
10:41:17	32909/32909	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2011:46:07%20GMT	https://www.digiteum.com/wp-content/plugins/contact-form-with-shortcode/css/jquery-ui.css?ver=5.9.2	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/plugins/contact-form-with-shortcode/css/jquery-ui6dcf.css	(from https://www.digiteum.com/)
10:41:17	1765/1765	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2011:46:06%20GMT	https://www.digiteum.com/wp-content/plugins/contact-form-with-shortcode/css/jquery.ptTimeSelect.css?ver=5.9.2	C:/Users/user5/Desktop/Work/front-end%20Automize/digiteum%20ST2/www.digiteum.com/wp-content/plugins/contact-form-with-shortcode/css/jquery.ptTimeSelect6dcf.css	(from https://www.digiteum.com/)
